kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,habitable_zone
3858917,K03294.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,25.9522401,0.0001631,-0.0001631,148.91634,0.0055,-0.0055,1.375,12.11,-0.119,20.813,0.269,-0.269,2896.9,38.6,-38.6,42.91,11.77,-3.94,572.0,,,25.35,20.49,-6.85,90.5,1.0,q1_q17_dr25_tce,5659.0,154.0,-171.0,4.528,0.036,-0.192,0.904,0.248,-0.083,293.70248,38.975449,14.691,0
9953575,K04751.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,362.69427,0.01607,-0.01607,154.1124,0.0368,-0.0368,0.0774,0.4016,-0.0773,9.7,1.1,-1.1,439.9,55.8,-55.8,3.54,2.6,-2.03,315.0,,,2.32,5.55,-1.95,11.0,,,5288.0,164.0,-154.0,3.898,0.679,-0.385,1.719,1.259,-0.988,292.78592,46.808411,14.73,0
4671584,K06434.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.796661168,1.136e-06,-1.136e-06,134.032331,0.000335,-0.000335,1.276,0.232,-0.145,3.3781,0.0174,-0.0174,2363.8,11.0,-11.0,47.68,12.26,-15.0,1661.0,,,1797.72,1404.17,-1060.02,251.4,1.0,q1_q17_dr25_tce,6331.0,192.0,-211.0,4.146,0.306,-0.165,1.326,0.341,-0.417,295.99811,39.742748,13.742,0
8960918,K04805.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,1.19087362,1.29e-05,-1.29e-05,131.71838,0.0078,-0.0078,0.393,0.076,-0.393,1.785,0.298,-0.298,67.5,10.3,-10.3,0.73,0.1,-0.08,1489.0,,,1165.78,552.5,-353.25,8.0,1.0,q1_q17_dr25_tce,5158.0,171.0,-155.0,4.464,0.105,-0.105,0.888,0.122,-0.1,294.59283,45.28772,15.28,0
10153827,K01079.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,0.293630085,1.15e-07,-1.15e-07,133.584241,0.000338,-0.000338,1.2329,0.2354,-0.006,2.3857,0.0391,-0.0391,2017.7,15.1,-15.1,26.35,7.63,-2.12,2503.0,,,9283.34,8030.07,-2302.06,170.0,,,5665.0,165.0,-163.0,4.554,0.03,-0.198,0.843,0.244,-0.068,296.33435,47.14558,15.822,0
7618364,K07844.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,1.302061421,2.574e-06,-2.574e-06,132.56436,0.0016,-0.0016,1.273,9.841,-0.08,1.8238,0.0974,-0.0974,1046.1,45.1,-45.1,92.86,12.58,-37.77,3345.0,,,29636.26,12903.33,-20804.62,29.5,1.0,q1_q17_dr25_tce,7757.0,211.0,-316.0,3.837,0.344,-0.108,2.783,0.377,-1.132,294.96756,43.277409,13.095,0
3342952,K03215.01,,FALSE POSITIVE,FALSE POSITIVE,0.005,0,0,1,0,1.039046871,8.411e-06,-8.411e-06,131.54272,0.00693,-0.00693,0.096,0.368,-0.096,1.689,0.207,-0.207,24.4,3.2,-3.2,0.48,0.1,-0.07,1774.0,,,2348.45,1421.05,-768.84,9.3,1.0,q1_q17_dr25_tce,5689.0,152.0,-152.0,4.422,0.104,-0.138,0.976,0.197,-0.131,291.65018,38.40937,12.023,0
7838906,K06165.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,5.614892073,5.254e-06,-5.254e-06,132.842964,0.000772,-0.000772,1.243,5.064,-0.104,3.7294,0.0401,-0.0401,2373.0,22.8,-22.8,1192.79,45.58,-258.3,4097.0,,,66631.18,11767.38,-29984.84,122.3,1.0,q1_q17_dr25_tce,4289.0,95.0,-116.0,1.603,0.033,-0.027,35.695,1.364,-7.731,296.98563,43.581352,11.925,0
6461675,K05286.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,342.830882,0.008405,-0.008405,430.438,0.0173,-0.0173,0.0886,0.3714,-0.0886,3.826,0.399,-0.399,450.7,55.3,-55.3,10.76,2.13,-0.33,530.0,,,18.68,11.19,-2.45,12.0,1.0,q1_q16_tce,4994.0,138.0,-96.0,2.92,0.032,-0.028,5.205,1.027,-0.162,297.05902,41.84322,12.739,0
9007609,K04795.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.316398648,5.656e-06,-5.656e-06,132.2998,0.00352,-0.00352,0.392,0.068,-0.392,1.169,0.148,-0.148,182.5,18.8,-18.8,1.09,0.11,-0.12,1374.0,,,842.93,306.37,-252.57,13.1,1.0,q1_q17_dr25_tce,5088.0,153.0,-153.0,4.508,0.088,-0.064,0.806,0.081,-0.089,285.88486,45.380138,15.797,0
